Topic Category,PDF,Text
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,To support the return of a student to school following hospitalization or residential treatment for a mental health condition or substance abuse; and b.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,The practices and procedures must prohibit the use without the prior consent of a student’s parent or guardian of a medical screening of the student as part of the process of identifying whether the student is possibly in need of early mental health or substance abuse intervention or suicide pre- vention.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Practices and procedures developed in accor- dance with these provisions are intended to notify a parent or guardian of a need for mental health or substance abuse interven- tion so that a parent or guardian may take appropriate action.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"A licensed or certified physician, psychologist, counselor, or social worker having reasonable grounds to believe that a child has been sexually, physically, or emotionally abused; is contemplating sui- cide; or is involved in chemical or drug addiction or dependency may: 1."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"The physician, psychologist, counselor, or social worker may not counsel a child if consent is prohibited by a court order, unless consent is obtained as otherwise allowed by law."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Family Code 32.004(b), (c) [See DP for more information about LSSP and school counselor responsibilities.]"
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Family Code 32.004(d) Neither a district nor an employee of a district may refer a student to an outside counselor for care or treatment of a chemical depen- dency or an emotional or psychological condition unless the district does all of the following: 1.
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Discloses to the student’s parent, managing conservator, or guardian any relationship between the district and the outside counselor."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,See FFB for mental health-care services provided by the threat assessment and safe and supportive school team.]
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Recommend that a student use a psychotropic drug; or 2.
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Use the refusal by a parent to consent to administration of a psychotropic drug to a student or to a psychiatric evaluation or examination of a student as grounds, by itself, for prohibit- ing the child from attending a class or participating in a school-related activity."
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Psychotropic drug means a substance that is used in the diagno- sis, treatment, or prevention of a disease or as a component of a medication and intended to have an altering effect on perception, emotion, or behavior."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"Prohibit a school district employee, or an employee of an en- tity with which the district contracts, who is a registered nurse, advanced nurse practitioner, physician, or nonphysician men- tal health professional licensed or certified to practice in this state from recommending that a child be evaluated by a physician or nonphysician mental health professional; or 3."
total number of health or treatment terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,Nonphysician mental health professional has the meaning as- signed by Education Code 38.0101 [see DP].
total number of drug or alcohol terms mentioned,FFEB_LEGAL_-_Counseling_and_Mental_Health_Mental_Health_LEGAL.pdf,"An employee may not use or threaten to use the refusal of a par- ent, guardian, or managing or possessory conservator to adminis- ter or consent to the administration of a psychotropic drug to a child, or to consent to any other psychiatric or psychological testing or treatment of the child, as the sole basis for making a report of neglect, unless the employee has cause to believe that the refusal: 1."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The current use by a person of a controlled substance as de- fined by Health and Safety Code Chapter 481, in a manner or to the extent that the use results in physical, mental, or emo- tional injury to a child; 10."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Causing, expressly permitting, or encouraging a child to use a controlled substance as defined by Health and Safety Code Chapter 481; 11."
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The person’s refusal is based solely on the person’s in- ability to obtain mental health services necessary to pro- tect the safety and well-being of the child; and c. The person has exhausted all reasonable means avail- able to the person to obtain the mental health services described at item b, above; 2."
number of time transfer or referral to disciplinary alternative school is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,Transfer the child’s medical care to a new medical provider; c. Transfer the child to another health care facility; 4.
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Choosing a recognized alternative health-care treatment or therapy for the child that could be considered as new, emerg- ing, or nonstandard, unless the treatment or therapy presents a substantial risk of death, disfigurement, or bodily injury to the child or results in an observable and material impairment to the growth, development, or functioning of the child; or 6."
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,19 TAC 103.1401(a) Any person who has reasonable cause to believe that a child’s physical or mental health or welfare has been adversely affected by abuse or neglect by any person shall immediately make a report as required by law.
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The term includes teachers, nurses, doctors, day-care employees, juvenile probation officers, and juvenile de- tention or correctional officers."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.101(b-1) An employee may not use or threaten to use the refusal of a par- ent, guardian, or managing or possessory conservator to adminis- ter or consent to the administration of a psychotropic drug to a child, or to consent to any other psychiatric or psychological testing or treatment of the child, as the sole basis for making a report of neglect, unless the employee has cause to believe that the refusal: 1."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.101(d) If the alleged or suspected abuse or neglect involves a person re- sponsible for the care, custody, or welfare of the child, the report must be made to DFPS, unless the report is made to a state agency under item 4, below, or the report involves a juvenile justice program or facility [see JJAEPS, below]."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.001(5) Any report of alleged abuse, neglect, or exploitation, as those terms are defined in Family Code 261.405, in a juvenile justice program or facility shall be made to the Texas Juvenile Justice Department and a local law enforcement agency for investigation."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,The term “juvenile justice program” includes a juvenile justice alternative education program.
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"19 TAC 103.1401(b) The policies must require every school employee, agent, or con- tractor who suspects a child's physical or mental health or welfare has been adversely affected by abuse or neglect to submit a writ- ten or oral report to at least one of the authorities listed above [see To Whom Reported, above] within 24 hours or less, as determined by the board, after learning of facts giving rise to the suspicion."
total number of drug or alcohol terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"The materials promote illegal use of drugs, alcohol, or other controlled substances."
total number of disciplinary terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"Failure to comply with this policy regarding distribution of non- school literature shall result in appropriate administrative action, in- cluding but not limited to confiscation of nonconforming materials, suspension of a noncurriculum-related student group’s use of Dis- trict facilities, and/or other disciplinary action in accordance with the Student Code of Conduct."
total number of drug or alcohol terms mentioned,FNA_LEGAL_-_Student_Rights_and_Responsibilities_Student_Expression_LEGAL.pdf,"Dist., 393 U.S. 503 (1969) [See also FNCI] The special characteristics of the school environment and the gov- ernmental interest in stopping student drug abuse allow a district to restrict student expression that it reasonably regards as promoting illegal drug use."
total number of drug or alcohol terms mentioned,FNA_LEGAL_-_Student_Rights_and_Responsibilities_Student_Expression_LEGAL.pdf,Homework and classroom assignments must be judged by ordinary academic standards of substance and relevance and against other legitimate pedagogical concerns identified by a district.
total number of disciplinary terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Are not in a disciplinary placement at the time of the speaking event.
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,"The student may not engage in speech that: •Is obscene, vulgar, offensively lewd, or indecent; •Creates reasonable cause to believe that the speech would result in material and substantial interference with school ac- tivities or the rights of others; •Promotes illegal drug use; •Violates the intellectual property rights, privacy rights, or other rights of another person; •Contains defamatory statements about public figures or oth- ers; or •Advocates imminent lawless action and is likely to incite or produce such action."
total number of disciplinary terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Students are not eligible to volunteer if they were in a disciplinary placement during any part of the spring semester.
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,"The student shall stay on the subject, and the student shall not en- gage in speech that: •Is obscene, vulgar, offensively lewd, or indecent; •Creates reasonable cause to believe that the speech would result in material and substantial interference with school ac- tivities or the rights of others; •Promotes illegal drug use; •Violates the intellectual property rights, privacy rights, or other rights of another person; •Contains defamatory statements about public figures or oth- ers; or •Advocates imminent lawless action and is likely to incite or produce such action."
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Homework and classroom work shall be judged by ordi- nary academic standards of substance and relevance and against other legitimate pedagogical concerns identified by the school.
total number of disciplinary terms mentioned,FNCA_LOCAL_-_Student_Conduct_Dress_Code_LOCAL.pdf,"Students who violate d ress and grooming standards established for such an activity may be removed or excluded from the activity for a period determined by the principal or sponsor and may be subject to other disciplinary action, as specified in the Student Code of Conduct."
total number of disciplinary terms mentioned,FNCC_LEGAL_-_Student_Conduct_Prohibited_Organizations_and_Hazing_LEGAL.pdf,Educa- tion Code 37.121(d) A board or an educator shall recommend placing in a disciplinary alternative education program any student who commits the of- fenses described above.
total number of drug or alcohol terms mentioned,FNCC_LEGAL_-_Student_Conduct_Prohibited_Organizations_and_Hazing_LEGAL.pdf,"Is any type of physical brutality, such as whipping, beating, striking, branding, electronic shocking, placing of a harmful substance on the body, or similar activity; 2."
total number of drug or alcohol terms mentioned,FNCC_LEGAL_-_Student_Conduct_Prohibited_Organizations_and_Hazing_LEGAL.pdf,"Involves consumption of a food, liquid, alcoholic beverage, liquor, drug, or other substance, other than as described by item 5, below, that subjects the student to an unreasonable risk of harm or that adversely affects the mental or physical health or safety of the student; 4."
total number of drug or alcohol terms mentioned,FNCC_LEGAL_-_Student_Conduct_Prohibited_Organizations_and_Hazing_LEGAL.pdf,A drug; or b.
total number of drug or alcohol terms mentioned,FNCD_LEGAL_-_Student_Conduct_Tobacco_Use_and_Possession_LEGAL.pdf,"The term does not include a prescription medical device, prescription medication, or other pre- scribed substance unrelated to the cessation of smoking."
total number of disciplinary terms mentioned,FNCD_LEGAL_-_Student_Conduct_Tobacco_Use_and_Possession_LEGAL.pdf,"Health and Safety Code 161.081(1-a) [For information regarding the disciplinary consequences of stu- dent e-cigarette use, see FOC.]"
total number of drug or alcohol terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,Edu- cation Code 38.007(a) A board shall attempt to provide a safe alcohol-free environment to students coming to or going from school.
total number of drug or alcohol terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,A board may cooperate with local law enforcement officials and the Texas Alcoholic Beverage Commission in attempting to provide this environment and in enforcing the alcohol-free zone provisions in the Alcoholic Beverage Code.
total number of drug or alcohol terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,"Education Code 38.007(b) If the majority of the area of a district is located in a municipality with a population of 1.3 million or more, the board may petition the commissioners court of the county in which the district is located or the governing board of an incorporated city or town in which the district is located to adopt a 1,000-foot alcohol-free zone."
total number of disciplinary terms mentioned,FNCF_LEGAL_-_Student_Conduct_Alcohol_and_Drug_Use_LEGAL.pdf,"Health and Safety Code 485.033 Note:For disciplinary consequences associated with the of- fenses above, see FOC and FOD."
number of times expulsion or synonyms is mentioned,FNCG_LEGAL_-_Student_Conduct_Weapons_LEGAL.pdf,"The student must be expelled from the student’s regular campus for a period of at least one year, except that the superin- tendent may modify in writing the length of expulsion in the case of an individual student."
number of times expulsion or synonyms is mentioned,FNCG_LEGAL_-_Student_Conduct_Weapons_LEGAL.pdf,"For expulsion under this provision, “school” means any setting that is under the control and supervision of a district for the purpose of student activities approved and authorized by the district."
total number of drug or alcohol terms mentioned,FNCG_LEGAL_-_Student_Conduct_Weapons_LEGAL.pdf,"A “firearm” means any device designed, made, or adapted to expel a projectile through a barrel by using the energy generated by an explosion or burning substance or any device readily convertible to that use."
total number of drug or alcohol terms mentioned,FNCG_LEGAL_-_Student_Conduct_Weapons_LEGAL.pdf,A zip gun (a device or combination of devices that was not originally a firearm and is adapted to expel a projectile through a smooth-bore or rifled-bore barrel by using the en- ergy generated by an explosion or burning substance).
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,Education Code 37.005(a) An in-school suspension under this section is not subject to any time limit.
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,Education Code 37.005(b) The principal or other appropriate administrator shall review the in- school suspension of a student at least once every 10 school days after the date the suspension begins to evaluate the educational progress of the student and to determine if continued in-school suspension is appropriate.
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"If the principal or other appropriate ad- ministrator determines that continued in-school suspension is ap- propriate, the principal or other appropriate administrator shall doc- ument the determination."
number of times any other terms are mentioned that relate to a health-oriented approach to student drug and alcohol use,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,Education Code 37.005(b-1) The district shall provide a student subject to an in-school suspen- sion with appropriate behavioral support services and comparable educational services as the student would receive in the class- room.
number of times drug and alcohol use prevention programs are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"If the student receives special education services, the student must continue to receive special education and related services speci- fied in the student's individualized education program and have an opportunity to progress in the general curriculum."
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,Education Code 37.005(b-2) An out-of-school suspension may not exceed three school days.
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"A student who is enrolled in a grade level below grade 3 may not be placed in out-of-school suspension unless while on school prop- erty or while attending a school-sponsored or school-related activ- ity on or off of school property, the student engages in: 1."
total number of drug or alcohol terms mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"A dangerous drug, as defined by Health and Safety Code Chapter 483; or c. An alcoholic beverage, as defined by Alcoholic Beverage Code 1.04."
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"Education Code 37.005(c) A district may not place a student who is homeless in out-of-school suspension unless the student engages in conduct described at items 1–4, above, while on school property or while attending a school-sponsored or school-related activity on or off of school property."
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,The campus behavior coordinator may coordinate with the district's homeless education liaison to identify appropriate al- ternatives to out-of-school suspension for a student who is home- less.
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"Education Code 37.005(d) On receiving a written request from the student's parent, the princi- pal or other appropriate administrator may at the principal's or other appropriate administrator's sole discretion reassign a student placed in out-of-school suspension to an in-school suspension if the student's parent demonstrates through supporting information and documentation that the parent is unable to provide suitable su- pervision for the student during school hours during the period of the suspension."
number of times suspension or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,The alternative placement provided by this provision may be used only in extenuating circumstances and may not be used as a rou- tine replacement for out-of-school suspension.
total number of disciplinary terms mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"Provide alternative disciplinary courses of action that do not rely on the use of in-school suspension, out-of-school suspen- sion, or placement in a disciplinary alternative education pro- gram to manage student behavior; and 5."
number of times trauma-informed care or synonyms are mentioned,FOB_LEGAL_-_Student_Discipline_Out-of-School_Suspension_LEGAL.pdf,"Positive behavioral intervention and support; b. Trauma-informed practices; c. Social and emotional learning; d. A referral for services, as necessary; and e. Restorative practices."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.006 [For additional factors that must be considered in each decision concerning suspension, removal to a DAEP, expulsion, or place- ment in a juvenile justice alternative education program (JJAEP), see FO and the Student Code of Conduct.]"
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"A controlled substance, as defined by the Texas Con- trolled Substances Act, Health and Safety Code Chapter 481, or by 21 U.S.C."
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"801, et seq., excluding marijuana, as defined by Health and Safety Code 481.002, or tetrahydrocannabinol, as defined by Department of Pub- lic Safety rule; b."
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"A dangerous drug, as defined by the Texas Dangerous Drug Act, Health and Safety Code Chapter 483."
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Possesses, uses, or is under the influence of, or sells, gives, or delivers to another person marijuana or tetrahydrocannabi- nol, as defined above; 5."
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Sells, gives, or delivers to another person an alcoholic bever- age, as defined by Alcoholic Beverage Code 1.04, or commits a serious act or offense while under the influence of alcohol, or possesses, uses, or is under the influence of an alcoholic beverage."
number of times transfer or referral to recovery schools are mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,Penal Code 22.11 A student shall be removed from class and placed in a DAEP or ju- venile justice alternative education program (JJAEP) if: 1.
number of times transfer or referral to juvenile justice program is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"The student was convicted of, received adjudication for, or was placed on probation for sexual assault of another student who was a young child or disabled individual while the stu- dents were assigned to the same campus, regardless of whether the assault occurred on or off school property; 2."
number of time transfer or referral to disciplinary alternative school is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 25.0341, 37.0051(a) [See FDE at Sexual Assault Transfer—Transfer of Assailant] A limitation imposed by Education Code Chapter 37 on the length of placement in a DAEP or a JJAEP does not apply to a placement under this provision."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,Education Code 37.0052 A student may be removed from class and placed in a disciplinary alternative education program if the student: 1.
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.006(d), (d-1); 37.124(d) A student may be removed from class and placed in a disciplinary alternative education program if the student possesses or uses an e-cigarette, as defined by Health and Safety Code 161.081."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"If a student who possesses or uses an e-cigarette is not placed in a disciplinary alternative education program for the first-time of- fense, the student shall be placed in in-school suspension for a pe- riod of at least 10 school days."
number of times suspension or synonyms are mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"[For requirements related to in- school suspension, see FOB.]"
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Before ordering removal, the CBC must consider whether the stu- dent acted in self-defense, the intent or lack of intent at the time the student engaged in the conduct, the student’s disciplinary his- tory, and whether the student has a disability that substantially im- pairs the student’s capacity to appreciate the wrongfulness of the student’s conduct, regardless of whether the decision of the behav- ior coordinator concerns a mandatory or discretionary action."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Following the conference, and whether or not each requested per- son is in attendance after valid attempts to require the person’s at- tendance, the CBC, after considering any mitigating factors under Education Code 37.001(a)(4) [see FO], shall order the placement of the student for a period consistent with the Student Code of Conduct."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.009(a) [See Student Code of Conduct] On the placement of a student in a DAEP, the district shall provide information to the student’s parent or person standing in parental relation to the student regarding the process for requesting a full in- dividual and initial evaluation of the student under Education Code 29.004 [see EHBAA]."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"If the period of placement is inconsistent with the guidelines in the Student Code of Conduct, the order must give notice of the inconsistency."
total number of disciplinary terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,The student has engaged in serious or persistent misbehavior that violates the Student Code of Conduct.
total number of drug or alcohol terms mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.006(o) If a DAEP is at capacity at the time a CBC is deciding placement for a student who engaged in conduct described under Education Code 37.006(a)(2)(C-1) (possession or use of marijuana), (C-2) (possession, use, delivery of an e-cigarette), (D) (delivery of alco- hol), or (E) (abuse of volatile chemical), the student shall be placed in in-school suspension; and if a position becomes available in the program before the expiration of the period of the placement, trans- ferred to the program for the remainder of the period."
number of times suspension or synonyms are mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"If a DAEP is at capacity at the time a CBC is deciding placement for a student who engaged in conduct described under Education Code 37.007 that constitutes violent conduct [see below at Deter- mination of Violent Conduct], a student who has been placed in the program for conduct described under Education Code 37.006(a)(2)(C-1), (C-2), (D), or (E) (above) may be removed from the program and placed in in-school suspension to make a position in the program available for the student who engaged in violent conduct."
number of times transfer or referral to juvenile justice program is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,Education Code 37.008(j-1) Unless a board and the juvenile board for the county in which a district’s central administrative office is located have entered into a memorandum of understanding concerning the juvenile probation department’s role in supervising and providing other support ser- vices for students in DAEP programs: 1.
number of times transfer or referral to juvenile justice program is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"A court may not order a student to attend a DAEP without a district’s consent, until the student has successfully completed any sentencing requirements, if the court has ordered the stu- dent to attend a DAEP as a condition of probation once during a school year and the student is referred to juvenile court again during that school year."
number of times transfer or referral to juvenile justice program is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.010(e) After the student has successfully completed any court disposition requirements, including conditions of deferred prosecution or con- ditions required by the prosecutor or probation department, a dis- trict may not refuse to admit the student if the student meets the re- quirements for admission into the public schools."
number of times expulsion or synonyms is mentioned,FOC_LEGAL_-_Student_Discipline_Placement_in_a_Disciplinary_Alternative_Education_Setting_LEGAL.pdf,"Education Code 37.009(e) If, during the term of placement, a student engages in additional conduct for which placement in a DAEP or expulsion is required or permitted, additional proceedings may be conducted and the prin- cipal or board, as appropriate, may enter an additional order."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.007(e)(2), (h) A person who is 21 years of age or older and is admitted by a dis- trict for the purpose of completing the requirements for a diploma is not eligible for placement in a juvenile justice alternative education program (JJAEP) if the person engages in conduct that would re- quire or authorize such placement for a student under the age of 21."
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Commits a drug- or alcohol-related offense described at Edu- cation Code 37.006(a)(2)(C), if that conduct is punishable as a felony; 4."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"The student must be expelled from the student’s regular campus for a period of at least one year, except that the superin- tendent may modify in writing the length of expulsion in the case of an individual student."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A district or other local educational agency shall provide educa- tional services to an expelled student in a DAEP if the student is younger than 10 years of age on the date of expulsion.
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Marijuana or a controlled substance, as defined by Chapter 481, Health and Safety Code, or by 21 U.S.C."
total number of drug or alcohol terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A dangerous drug, as defined by Chapter 483, Health and Safety Code; or c. An alcoholic beverage, as defined by Section 1.04, Alco- holic Beverage Code."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"If the student is expelled, a board or its designee shall refer the student to the authorized officer of the juvenile court for appropriate proceedings under Family Code Title 3 (Juvenile Justice Code)."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Following the conference, and whether or not each requested per- son is in attendance after valid attempts to require the person’s at- tendance, the CBC, after considering any mitigating factors under Education Code 37.001(a)(4) [see FO], shall order the placement of the student for a period consistent with the Student Code of Conduct."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.009(a) [See Student Code of Conduct] Before a student may be expelled, a board or its designee shall provide the student a hearing at which the student is afforded ap- propriate due process as required by the federal constitution and which the student’s parent or guardian is invited, in writing, to at- tend."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"The notice should contain a statement of the specific charges and grounds that, if proven, would justify expulsion."
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"[See Student Code of Conduct, item 4, at FO(LE- GAL) for additional mitigating factors.]"
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.009(f) If the period of expulsion is inconsistent with the guidelines on length of expulsion in the Student Code of Conduct, the order must give notice of the inconsistency."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The period of expulsion may not exceed one year unless a district determines that: 1.
